|node|,|area|,|name|,|grade|,|stars|,|latitude|,|longitude|,|tags|
|1333|,|Dry Valley|,|Wisp|,|V9|,|1|,|-43.196522017900|,|171.751515269000|,|[DT,2003,Dyno]|
|1334|,|Dry Valley|,|Cosmic Energy|,|V8|,|3|,|-43.193207596612|,|171.754652112720|,|[SL,2001,Highball]|
|1335|,|Quantum Field|,|Faster Kill Pussy Cat|,|V10|,|2|,|-43.229718866900|,|171.715541482000|,|[DT,2006,Slopers,Contrived]|
|1336|,|Flock Hill|,|Weapon Omega|,|V12|,|4|,|-43.183439272900|,|171.747631431000|,|[DT,2009,Mantle,weapon,Slopers,Crimpers]|
|1337|,|Flock Hill|,|Interstellar Overdrive|,|V10|,|3|,|-43.187845479111|,|171.747733354570|,|[PA,2007,Compression,Prow,Slopers]|
|1338|,|Flock Hill|,|Mortality Sequence|,|V13|,|3|,|-43.184209844100|,|171.747411489000|,|[JM,2009,Slopers,Highball]|
|1341|,|Flock Hill|,|Commander Keen|,|V8|,|1|,|-43.184626417900|,|171.745450795000|,|[DT,2009,Mantle,Undercling]|
|1382|,|Dark Castle|,|Convolution|,|V10|,|1|,|-43.225976279800|,|171.716051102000|,|[DT,2011,Steep,Contrived,pojo,Crimpers]|
|1383|,|Cave Stream|,|Strike of the Mamba|,|V9|,|2|,|-43.198117568900|,|171.743355989000|,|[MP,2007,Unrepeated,Slopers]|
|1384|,|Dark Castle|,|Fidel Castro|,|V9|,|2|,|-43.226212763400|,|171.716238856000|,|[IV,2002,pojo,power]|
|1385|,|Dark Castle|,|Super Position Theory|,|V8|,|1|,|-43.225995823900|,|171.716075242000|,|[PA,2006,pojo,Midgets]|
|1386|,|Dry Valley|,|Concept of the Good|,|V11|,|2|,|-43.194799323500|,|171.755930185000|,|[DT,2003,Slopers,Midgets,Crimpers,Oldschoolcool]|
|1387|,|Dry Valley|,|Cosmic Energy (ss)|,|V11|,|2|,|-43.193211507500|,|171.754586399000|,|[DT,2003,Unrepeated,Midgets,Crimpers]|
|1388|,|Dry Valley|,|Fire Demon Horse|,|V11|,|2|,|-43.194762170600|,|171.754294038000|,|[DT,2010,Midgets,Sitstart]|
|1389|,|Dry Valley|,|Hyperspace 500|,|V10|,|3|,|-43.193381632600|,|171.752145588000|,|[DT,2010,Rad]|
|1390|,|Dry Valley|,|Pocket Pilot|,|V10|,|3|,|-43.193702327000|,|171.755637825000|,|[DT,2001,Midgets,Pockets,Highball,Oldschoolcool]|
|1391|,|Dry Valley|,|Devilution|,|V10|,|1|,|-43.196445758900|,|171.753765643000|,|[DT,2010,Compression,Dabpolice]|
|1392|,|Dry Valley|,|Planetary Alignment|,|V9|,|2|,|-43.193628019900|,|171.755889952000|,|[JM,2012,Dyno,Unrepeated,Pockets,palsy]|
|1393|,|Dry Valley|,|One off the Edge|,|V9|,|2|,|-43.196946329000|,|171.750919819000|,|[DT,2003,Mantle,Unrepeated,Midgets]|
|1394|,|Dry Valley|,|Monolith|,|V9|,|2|,|-43.196697999800|,|171.753207743000|,|[IV,2003]|
|1395|,|Dry Valley|,|Singular Objective|,|V8|,|3|,|-43.193465717300|,|171.755492985000|,|[DT,2002,Pockets]|
|1396|,|Dry Valley|,|Agent Of Derangement|,|V8|,|2|,|-43.195962783000|,|171.755015552000|,|[RD,2005,Morpho]|
|1397|,|Dry Valley|,|Angel Fire|,|V8|,|1|,|-43.194273315100|,|171.751158535000|,|[DT,2008,Unrepeated]|
|1398|,|Dry Valley|,|The New Frontier|,|V8|,|2|,|-43.193678861600|,|171.755750477000|,|[SL,2001,Highball]|
|1399|,|Dry Valley|,|Captain Kirk|,|V8|,|0|,|-43.193606509900|,|171.755943596000|,|[IV,2001,Unrepeated]|
|1403|,|Flock Hill|,|High Street|,|V6|,|3|,|-43.184295897100|,|171.745834351000|,|[SD,2012,Slopers,Highball,Traverse]|
|1404|,|Flock Hill|,|Captain Marvel|,|V1?|,|4|,|-43.185942615900|,|171.746102571000|,|[Project,Compression,Slopers,Crimpers,Highball,3starV14+]|
|1407|,|Flock Hill|,|Frictionary Philistine|,|V4|,|3|,|-43.182625664300|,|171.747113764000|,|[ES,2011,sloper jugs]|
|1408|,|Quantum Field|,|Ode to Joy|,|V1|,|3|,|-43.229861500000|,|171.715208900000|,|[]|
|1410|,|Flock Hill|,|Split Apple Dyno|,|V4|,|1|,|-43.188725500000|,|171.748326100000|,|[Dyno]|
